,UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON12,DRUG12,LIQUOR12,WEAPON13,DRUG13,LIQUOR13,WEAPON14,DRUG14,LIQUOR14,FILTER12,FILTER13,FILTER14,pub,year
1004,123961001,University of Southern California,University Park Campus,University Park,Los Angeles,CA,900895012,2,"Private nonprofit, 2",20341,22112,42453,1,1,1,0,4,0,0,4,1,1,1,1,2,2
1005,123961002,University of Southern California,Health Sciences Campus,University of Southern California,Los Angeles,CA,90033,2,"Private nonprofit, 2",20341,22112,42453,0,0,0,0,0,0,0,1,0,1,1,1,2,2
1014,124113001,Taft College,Main Campus,29 Cougar Court,Taft,CA,93268,4,"Public, 1",3183,2034,5217,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1037,125231001,Walden University,Academic Offices,"100 Washington Avenue South, Suite 900",MINNEAPOLIS,MN,55401,3,"Private for-profit, 2",12317,39871,52188,0,0,0,0,0,0,0,0,0,1,1,1,3,2
1041,125499001,West Valley College,WEST VALLEY COLLEGE,14000 FRUITVALE AVE,SARATOGA,CA,950705698,4,"Public, 1",4003,5059,9062,1,3,0,2,7,1,0,0,0,1,1,1,1,1
1043,125718001,Westminster Theological Seminary in California,Main Campus,1725 BEAR VALLEY PARKWAY,ESCONDIDO,CA,92027,2,"Private nonprofit, 2",141,8,149,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1044,125727001,Westmont College,Westmont College,955 LA PAZ RD,SANTA BARBARA,CA,931081089,2,"Private nonprofit, 2",517,783,1300,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1046,125763001,Whittier College,Main Campus,13406 PHILADELPHIA ST,WHITTIER,CA,90608,2,"Private nonprofit, 2",1005,1254,2259,0,0,0,0,3,1,0,0,1,1,1,1,2,2
1050,126012001,The Wright Institute,The Wright Institute,2728 DURANT AVE,Berkeley,CA,947041796,2,"Private nonprofit, 2",115,330,445,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1052,126049001,Thomas Jefferson School of Law,Main Campus,1155 Island Avenue,SAN DIEGO,CA,92101,2,"Private nonprofit, 2",408,441,849,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1058,126207001,Aims Community College,Greeley Campus,5401 W. 20th St.,Greeley,CO,80634,4,"Public, 1",2097,2904,5001,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1067,126562001,University of Colorado Denver,University of Colorado Denver - Downtown,1380 Lawrence Street,DENVER,CO,80204,1,"Public, 2",9893,12898,22791,0,2,4,1,0,0,0,0,0,1,1,1,1,2
1068,126562003,University of Colorado Denver,UCDHSC - Anschutz Medical Campus,"Mail Stop F409, P.O. Box 6508",Aurora,CO,800450508,1,"Public, 2",9893,12898,22791,0,0,0,0,0,0,0,3,1,1,1,1,1,2
1069,126580001,University of Colorado Colorado Springs,University of Colorado Colorado Springs,1420 AUSTIN BLUFFS PKWY,COLORADO SPRINGS,CO,80918,1,"Public, 2",5553,6208,11761,0,4,3,0,4,1,1,4,4,1,1,1,1,2
1072,126614001,University of Colorado Boulder,Main Campus,Campus Box 17 UCB,BOULDER,CO,803090017,1,"Public, 2",18122,14310,32432,0,1,0,1,77,68,1,40,31,1,1,1,1,2
1074,126678001,Colorado College,Colorado College,14 E CACHE LA POUDRE,COLORADO SPRINGS,CO,80903,2,"Private nonprofit, 2",957,1110,2067,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1076,126702001,The Art Institute of Colorado,The Art Institute of Colorado,1200 Lincoln Street,DENVER,CO,802032114,3,"Private for-profit, 2",749,665,1414,0,0,0,0,0,0,0,0,0,1,1,1,3,2
1078,126748001,Colorado Northwestern Community College,CNCC Rangely Campus,500 KENNEDY DR,RANGELY,CO,81648,4,"Public, 1",472,673,1145,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1080,126775001,Colorado School of Mines,Main Campus,1500 ILLINOIS ST,GOLDEN,CO,80401,1,"Public, 2",4274,1688,5962,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1082,126818001,Colorado State University-Fort Collins,Main Campus,102 Administration Building,Fort Collins,CO,805230100,1,"Public, 2",15218,16136,31354,0,0,29,0,0,6,0,1,65,1,1,1,1,2
1094,127060001,University of Denver,University Park Campus,2199 S. UNIVERSITY BLVD.,DENVER,CO,80208,2,"Private nonprofit, 2",5160,6649,11809,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1098,127200002,Front Range Community College,Larimer Campus,4616 South Shields Street,Fort Collins,CO,805263812,4,"Public, 1",7992,10769,18761,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1106,127556001,Colorado Mesa University,Colorado Mesa University - Main Campus,1100 North Avenue,GRAND JUNCTION,CO,815013122,1,"Public, 2",4192,4924,9116,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1108,127556003,Colorado Mesa University,Colorado Mesa University - Bishop Campus,2508 Blichmann Avenue,Grand Junction,CO,81505,1,"Public, 2",4192,4924,9116,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1109,127565001,Metropolitan State University of Denver,Main Campus,P.O. Box 173362,DENVER,CO,802173362,1,"Public, 2",9969,11705,21674,0,0,0,1,0,0,0,0,0,1,1,1,1,2
1110,127617001,Morgan Community College,MORGAN COMMUNITY COLLEGE,920 Barlow Road,Fort Morgan,CO,807014371,4,"Public, 1",660,1177,1837,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1111,127653001,Naropa University,Arapahoe Campus,2130 Arapahoe Ave,Boulder,CO,803026697,2,"Private nonprofit, 2",311,685,996,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1118,127741001,University of Northern Colorado,Main Campus,CARTER HALL - RM 4000,GREELEY,CO,80639,1,"Public, 2",4142,7908,12050,0,0,0,0,0,12,0,1,1,1,1,1,1,2
1119,127778001,Otero Junior College,Main Campus,1802 COLORADO AVE,LA JUNTA,CO,81050,4,"Public, 1",582,852,1434,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1125,127884001,Pueblo Community College,Main Campus/Cosmetology,700 West Abriendo Avenue,PUEBLO,CO,81004,4,"Public, 1",2794,3409,6203,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1130,127918001,Regis University,Northwest Denver Campus,3333 REGIS BLVD,DENVER,CO,802211099,2,"Private nonprofit, 2",3374,5834,9208,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1137,128106001,Colorado State University-Pueblo,Colorado State University-Pueblo,2200 BONFORTE BLVD,PUEBLO,CO,810014901,1,"Public, 2",2793,4463,7256,0,0,0,0,0,1,0,0,0,1,1,1,1,2
1138,128151001,Pickens Technical College,Pickens Technical College,500 AIRPORT BLVD,AURORA,CO,800119307,4,"Public, 1",587,497,1084,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1142,128258001,Trinidad State Junior College,Trinidad Campus,600 Prospect St,Trinidad,CO,81082,4,"Public, 1",747,1036,1783,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1143,128258002,Trinidad State Junior College,Valley Campus,1011 Main Street,Alamosa,CO,81101,4,"Public, 1",747,1036,1783,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1145,128391001,Western State Colorado University,Main Campus,600 N.  Adams Street,GUNNISON,CO,81231,1,"Public, 2",1467,1117,2584,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1151,128726001,Bridgeport Hospital School of Nursing,Main Campus,200 MILL HILL AVE,BRIDGEPORT,CT,6610,8,"Private nonprofit, 0",47,142,189,0,0,0,0,0,0,0,0,0,1,1,1,2,0
1153,128771001,Central Connecticut State University,Main Campus,1615 STANLEY ST,NEW BRITAIN,CT,6050,1,"Public, 2",6002,6035,12037,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1158,129020001,University of Connecticut,Main Campus,126 North Eagleville Road,STORRS,CT,62693070,1,"Public, 2",13182,13359,26541,0,0,0,0,1,0,1,13,21,1,1,1,1,2
1161,129181001,Lincoln Technical Institute-East Windsor,Lincoln Technical Institute,97 Newberry Road,East Windsor,CT,6088,9,"Private for-profit, 0",982,43,1025,0,3,0,1,0,0,0,3,0,1,1,1,3,0
1163,129242001,Fairfield University,Main Campus,1073 NORTH BENSON RD,FAIRFIELD,CT,68245195,2,"Private nonprofit, 2",2042,3081,5123,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1170,129525001,University of Hartford,Main Campus,200 BLOOMFIELD AVE,WEST HARTFORD,CT,61171599,2,"Private nonprofit, 2",3317,3500,6817,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1171,129525002,University of Hartford,Asylum Ave.Campus (formerly Htfd.College for Women,1265 Asylum Avenue,Hartford,CT,61052206,2,"Private nonprofit, 2",3317,3500,6817,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1172,129525006,University of Hartford,Handel Performing Arts Center,35 Westbourne Parkway,Hartford,CT,6112,2,"Private nonprofit, 2",3317,3500,6817,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1176,129695001,Manchester Community College,Main Campus,Great Path       P.O. Box 1046,Manchester,CT,60451046,4,"Public, 1",3434,3866,7300,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1179,129756001,Middlesex Community College,Middlesex Community College,100 TRAINING HILL RD,MIDDLETOWN,CT,6457,4,"Public, 1",1243,1762,3005,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1186,129941001,University of New Haven,University of New Haven,300 Boston Post Rd.,WEST HAVEN,CT,6516,2,"Private nonprofit, 2",3474,3337,6811,0,2,0,0,1,0,0,1,0,1,1,1,2,2
1206,130226001,Quinnipiac University,Main Campus,275 MOUNT CARMEL AVE,HAMDEN,CT,6518,2,"Private nonprofit, 2",3461,5574,9035,0,0,0,0,0,0,2,0,0,1,1,1,2,2
1207,130253001,Sacred Heart University,Main Campus,5151 PARK AVE,FAIRFIELD,CT,68251000,2,"Private nonprofit, 2",2593,5188,7781,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1219,130590001,Trinity College,Main Campus Trinity College,300 SUMMIT ST,HARTFORD,CT,61063100,2,"Private nonprofit, 2",1254,1154,2408,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1220,130606001,Tunxis Community College,Tunxis Community College,271 Scott Swamp Road,FARMINGTON,CT,60323187,4,"Public, 1",1832,2361,4193,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1221,130606002,Tunxis Community College,Tunxis Community College - Bristol Satellite,430 North Main Street,Bristol,CT,6010,4,"Public, 1",1832,2361,4193,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1222,130697001,Wesleyan University,Main Campus,229 HIGH ST,MIDDLETOWN,CT,6459,2,"Private nonprofit, 2",1534,1690,3224,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1226,130794001,Yale University,Main Campus,105 Wall Street,NEW HAVEN,CT,6520,2,"Private nonprofit, 2",6295,6041,12336,0,0,4,0,0,1,0,0,0,1,1,1,2,2
1237,130943001,University of Delaware,Main Campus,413 Academy St.,NEWARK,DE,19716,1,"Public, 2",9923,12757,22680,0,2,2,0,0,4,0,0,0,1,1,1,1,2
1238,130943002,University of Delaware,Lewes,700 Pilottown Road,Lewes,DE,19958,1,"Public, 2",9923,12757,22680,0,0,0,0,0,0,0,0,0,1,1,1,1,2
1244,131113001,Wilmington University,Main Campus - New Castle,320 DUPONT HWY,NEW CASTLE,DE,19720,2,"Private nonprofit, 2",5066,9401,14467,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1247,131113006,Wilmington University,Dover,3282 North DuPont Highway,Dover,DE,19901,2,"Private nonprofit, 2",5066,9401,14467,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1248,131113008,Wilmington University,Wilson Graduate Center,31 Reads Way,New Castle,DE,19720,2,"Private nonprofit, 2",5066,9401,14467,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1251,131113013,Wilmington University,Middletown campus,651 North Broad St,Middletown,DE,29709,2,"Private nonprofit, 2",5066,9401,14467,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1257,131159001,American University,Main Campus,"4400 Massachsetts Avenue, NW",Washington,DC,200168068,2,"Private nonprofit, 2",5048,8013,13061,0,0,0,0,1,0,0,0,0,1,1,1,2,2
1263,131283001,Catholic University of America,The Catholic University of America,"620 Michigan Avenue, NE",WASHINGTON,DC,20064,2,"Private nonprofit, 2",3133,3566,6699,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1264,131399001,University of the District of Columbia,Van Ness Campus (Main/Flagship),"4200 Connecticut Avenue, N.W.",Washington,DC,200081122,1,"Public, 2",1799,3004,4803,1,0,0,0,0,0,0,1,0,1,1,1,1,2
1272,131405001,Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,Main campus,"487 Michigan Ave, NE",Washington,DC,200171585,2,"Private nonprofit, 2",85,10,95,0,0,0,0,0,0,0,0,0,1,1,1,2,2
1274,131469001,George Washington University,Main Campus,2121 EYE ST NW,WASHINGTON,DC,20052,2,"Private nonprofit, 2",11010,14603,25613,0,1,0,0,0,1,0,0,0,1,1,1,2,2
